cosmo_name,smiles,inchi,cosmo_conf,source
3-methoxy-1-butanol,OCCC(C)OC,"InChI=1/C5H12O2/c1-5(7-2)3-4-6/h5-6H,3-4H2,1-2H3",12,COSMObase
"1,5-pentanediol",OCCCCCO,"InChI=1/C5H12O2/c6-4-2-1-3-5-7/h6-7H,1-5H2",11,COSMObase
2-(2-methoxyethoxy)ethanol,COCCOCCO,"InChI=1/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3",18,COSMObase
"2,2'-(methylimino)bis-ethanol",OCCN(C)CCO,"InChI=1/C5H13NO2/c1-6(2-4-7)3-5-8/h7-8H,2-5H2,1H3",33,COSMObase
3-dimethylaminopropylamine,NCCCN(C)C,"InChI=1/C5H14N2/c1-7(2)5-3-4-6/h3-6H2,1-2H3",11,COSMObase
pentanedinitrile,N#CCCCC#N,InChI=1/C5H6N2/c6-4-2-1-3-5-7/h1-3H2,4,COSMObase
2-furanmethanol,OCc1occc1,"InChI=1/C5H6O2/c6-4-5-2-1-3-7-5/h1-3,6H,4H2",3,COSMObase
valeronitrile,CCCCC#N,"InChI=1/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",1,COSMObase
n-methyl-2-pyrrolidinone,CN1CCCC1=O,"InChI=1/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",1,COSMObase
n-formylmorpholine,O=CN1CCOCC1,"InChI=1/C5H9NO2/c7-5-6-1-3-8-4-2-6/h5H,1-4H2",1,COSMObase
perfluoro-n-hexane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1/C6F14/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)20",1,COSMObase
chlorocyclohexane,ClC1CCCCC1,"InChI=1/C6H11Cl/c7-6-4-2-1-3-5-6/h6H,1-5H2",1,COSMObase
"2-pyrrolidinone,1-ethyl",CCN1CCCC1=O,"InChI=1/C6H11NO/c1-2-7-5-3-4-6(7)8/h2-5H2,1H3",2,COSMObase
1-methylpiperidin-2-one,CN1CCCCC1=O,"InChI=1/C6H11NO/c1-7-5-3-2-4-6(7)8/h2-5H2,1H3",1,COSMObase
sec-butylacetate,CCC(C)OC(C)=O,"InChI=1/C6H12O2/c1-4-5(2)8-6(3)7/h5H,4H2,1-3H3",4,COSMObase
aceticacid-2-methylpropylester,CC(C)COC(C)=O,"InChI=1/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",4,COSMObase
tert-butylacetate,CC(C)(C)OC(C)=O,"InChI=1/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3",2,COSMObase
diethylacetamide,CCN(CC)C(C)=O,"InChI=1/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3",1,COSMObase
"2,2-dimethylbutane",CCC(C)(C)C,"InChI=1/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",1,COSMObase
"2,3-dimethylbutane",CC(C)C(C)C,"InChI=1/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",2,COSMObase
2-methyl-1-pentanol,CCCC(C)CO,"InChI=1/C6H14O/c1-3-4-6(2)5-7/h6-7H,3-5H2,1-2H3",5,COSMObase
1-ethoxybutane,CCOCCCC,"InChI=1/C6H14O/c1-3-5-6-7-4-2/h3-6H2,1-2H3",2,COSMObase
